1243,514,746,NULL,25',18
1244,639,342,315,60',12
1245,536,239,242,89',9
1246,536,488,243,51',9
1247,738,432,420,04',16
149,355,524,NULL,85',20
150,246,655,533,19',20
151,246,246,234,50',9
152,246,239,238,72',9
153,385,287,304,70',11
154,385,296,304,66',11
155,385,209,222,02',8
156,385,304,296,55',11
157,256,488,491,31',18
158,256,488,477,72',18
159,256,488,477,75',18
160,387,37,41,63',2
161,284,59,41,32',2
162,284,60,47,42',2
164,173,222,219,74',8
165,307,406,404,68',15
166,307,355,NULL,59',13
167,307,411,NULL,58',15
168,74,604,598,80',22
169,74,597,NULL,39',22
170,74,598,NULL,86',22
171,74,29,25,34',1
172,74,29,NULL,82',1
173,118,484,NULL,04',18
174,118,490,478,26',18
175,254,645,NULL,09',15
176,254,645,404,58',15
177,254,402,404,89',15
178,126,26,9,38',1
179,123,187,179,28',7
180,123,143,NULL,44',5
181,453,211,212,40',8
184,99,79,83,61',3
185,99,89,83,30',3
186,32,618,619,13',5
187,32,603,NULL,73',22
188,32,618,NULL,46',5
189,25,315,324,57',12
190,25,222,NULL,56',8
191,321,195,193,61',7
194,321,430,426,88',16
195,98,412,130,45',5
196,98,411,401,69',15
197,425,369,NULL,02',13
198,425,368,366,76',13
199,425,369,365,26',13
201,432,117,112,13',4
202,432,115,98,71',4
203,432,142,NULL,57',5
204,135,412,NULL,58',5
205,135,111,NULL,70',4
206,135,614,98,32',4
207,301,47,62,22',2
209,339,184,174,08',7
210,253,390,388,13',14
211,253,142,620,57',5
213,79,337,339,29',12
214,24,86,89,69',3
215,462,513,498,78',19
216,462,463,NULL,27',17
217,462,462,452,67',17
218,462,463,452,31',17
219,371,167,152,78',6
220,371,275,270,49',10
221,433,150,NULL,08',6
222,433,156,149,60',6
